ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
HB,DuringTLCtoTLCRelocation,Closed,Sequential,SingleSector,Alignedto4K,NoPowerCycle
SB1,DuringWriteToGATBlock,Closed,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
SB2,HostTLC,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
SB2,DuringTLCtoTLCRelocation,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
SB1,DuringTLCtoTLCRelocation,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
SB2,DuringWriteToMIPBlock,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
SB1,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SB2,DuringWriteToGATBlock,Closed,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
HB,DuringSLCtoTLCRelocation,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SB1,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
SB2,HostSLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
HB,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
SB2,DuringTLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SB2,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SB1,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SB1,DuringTLCtoTLCRelocation,Closed,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
HB,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
HB,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
HB,DuringWriteToMIPBlock,Closed,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
SB1,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
HB,DuringTLCtoTLCRelocation,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SB2,DuringTLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SB2,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
HB,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
SB2,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
SB2,HostTLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SB2,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
SB1,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SB1,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
HB,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
SB2,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SB1,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
HB,HostTLC,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SB1,DuringSLCtoTLCRelocation,Closed,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
SB1,HostTLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
HB,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SB2,DuringTLCtoTLCRelocation,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
HB,DuringSLCtoTLCRelocation,Closed,Sequential,SingleSector,Alignedto4K,NoPowerCycle
HB,DuringSLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
HB,DuringWriteToGATBlock,Closed,Sequential,SingleSector,Alignedto4K,NoPowerCycle
SB1,DuringWriteToGATBlock,Closed,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
SB2,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
HB,DuringWriteToMIPBlock,Closed,Sequential,SingleSector,Alignedto4K,NoPowerCycle
SB1,HostSLC,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SB2,HostSLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
HB,DuringWriteToFSBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
HB,HostTLC,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
HB,HostTLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
SB2,HostTLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
HB,DuringWriteToGATBlock,Closed,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
SB1,HostTLC,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
SB2,HostSLC,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
HB,HostSLC,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SB1,DuringSLCtoTLCRelocation,Closed,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
SB2,DuringSLCtoTLCRelocation,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
HB,HostSLC,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SB2,DuringSLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SB1,HostTLC,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SB1,DuringWriteToMIPBlock,Closed,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
SB2,DuringWriteToMIPBlock,Closed,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SB1,DuringSLCtoTLCRelocation,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
HB,DuringWriteToGATBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
HB,DuringTLCtoTLCRelocation,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SB2,HostTLC,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
HB,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SB2,DuringWriteToGATBlock,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
HB,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SB1,HostSLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
SB1,HostSLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
SB2,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SB2,DuringWriteToGATBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
HB,HostSLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
SB1,DuringTLCtoTLCRelocation,Closed,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
SB1,DuringWriteToFSBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
SB1,HostSLC,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
SB2,DuringWriteToMIPBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SB1,DuringWriteToGATBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
SB1,DuringWriteToMIPBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
SB1,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
HB,DuringSLCtoTLCRelocation,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SB2,DuringWriteToFSBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
SB1,HostTLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
SB1,DuringWriteToMIPBlock,Closed,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
SB2,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
SB2,DuringSLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
HB,DuringTLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
SB1,DuringTLCtoTLCRelocation,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SB1,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
SB2,HostSLC,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
HB,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SB2,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
SB2,DuringSLCtoTLCRelocation,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
HB,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
HB,HostSLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
HB,DuringWriteToMIPBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SB1,DuringSLCtoTLCRelocation,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
