ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
ProgramFailure,DuringWriteToMIPBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToFSBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringWriteToGATBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
