ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,DuringWriteToGATBlock,Closed,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
UECC,HostTLC,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
UECC,DuringWriteToGATBlock,Closed,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
UECC,HostSLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Closed,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
UECC,HostTLC,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringWriteToGATBlock,Closed,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,DuringWriteToGATBlock,Closed,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Closed,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,HostSLC,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
UECC,HostSLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToFSBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,HostTLC,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
UECC,DuringWriteToGATBlock,Closed,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
UECC,HostTLC,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
UECC,HostSLC,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
UECC,HostSLC,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
UECC,HostSLC,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,HostTLC,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Closed,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToMIPBlock,Closed,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,DuringSLCtoTLCRelocation,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
UECC,DuringWriteToGATBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
UECC,DuringTLCtoTLCRelocation,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
UECC,HostTLC,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
