ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostSLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToMIPBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,DuringWriteToGATBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
