ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
CECC,HostTLC,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
CECC,HostTLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
CECC,HostTLC,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
CECC,HostTLC,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
CECC,HostTLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,HostTLC,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
UECC,HostTLC,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
UECC,HostTLC,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,HostTLC,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
CECC,HostTLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
CECC,HostTLC,Closed,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
UECC,HostTLC,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
EraseFailure,HostTLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
CECC,HostTLC,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
CECC,HostTLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
CECC,HostTLC,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostSLC,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
CECC,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
UECC,HostTLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
WriteAbort,HostTLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
ProgramFailure,HostTLC,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
CECC,HostTLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
EraseFailure,HostSLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
