ModeBeforeSwitch,ModeAfterSwitch,ShutdownTypeAtSwitch,ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
PCIe,Operational,,ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,ProgramFailure,HostTLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringWriteToMTMBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringWriteToLogBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringWriteToXORBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,ProgramFailure,HostSLC,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringWriteToMTMBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringWriteToLogBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringWriteToXORBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SD,Operational,,ProgramFailure,HostSLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,Operational,,ProgramFailure,DuringTLCtoTLCRelocation,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,Operational,,ProgramFailure,DuringWriteToMTMBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
SD,Operational,,ProgramFailure,DuringWriteToLogBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SD,Operational,,ProgramFailure,DuringWriteToXORBlock,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
SD,Operational,,ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD IDLE - SD,SD,,ProgramFailure,DuringWriteToLogBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,UGSD,ProgramFailure,HostSLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,UGSD,ProgramFailure,DuringSLCtoTLCRelocation,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,SD,UGSD,ProgramFailure,DuringWriteToMTMBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,SD,UGSD,ProgramFailure,DuringWriteToLogBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,SD,UGSD,ProgramFailure,DuringWriteToXORBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,HostSLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
SD,Operational,,ProgramFailure,HostSLC,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
SD,Operational,,ProgramFailure,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
SD,Operational,,ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
