ModeBeforeSwitch,ModeAfterSwitch,ShutdownTypeAtSwitch,ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,HostSLC,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,HostSLC,Closed,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,HostTLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,HostTLC,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostSLC,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostSLC,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostSLC,Partial,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostTLC,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostTLC,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostTLC,Partial,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,DuringWriteToMTMBlock,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,DuringWriteToMTMBlock,Closed,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,DuringWriteToLogBlock,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,DuringWriteToLogBlock,Closed,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostSLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostSLC,Closed,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostSLC,Partial,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,DuringTLCtoTLCRelocation,Open,Sequential,SingleSector,Alignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostTLC,Closed,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,HostTLC,Partial,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,DuringWriteToMTMBlock,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,DuringWriteToMTMBlock,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,DuringWriteToMTMBlock,Partial,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,HostSLC,Closed,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,Operational,,UncorrectableECC_DecodeFail,HostTLC,Closed,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,DuringWriteToLogBlock,Closed,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
SD,Operational,,UncorrectableECC_DecodeFail,DuringWriteToLogBlock,Closed,Sequential,SingleSector,Alignedto4K,NoPowerCycle
PCIe,SD,GSD,UncorrectableECC_DecodeFail,HostSLC,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,SD,GSD,UncorrectableECC_DecodeFail,HostTLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
