ModeBeforeSwitch,ModeAfterSwitch,ShutdownTypeAtSwitch,ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
PCIe,PCIe,WA,WriteAbort,DuringWriteToLogBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,WA,WriteAbort,HostSLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbort,HostTLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbort,DuringWriteToMTMBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,SD,WA,WriteAbort,DuringWriteToLogBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
SD,SD,WA,WriteAbort,DuringWriteToXORBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SD,SD,WA,WriteAbort,DuringWriteToMTMBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SD,SD,WA,WriteAbort,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,SD,WA,WriteAbort,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,SD,WA,WriteAbort,HostSLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,SD,WA,WriteAbort,HostTLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbort,DuringWriteToXORBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SD,SD,WA,WriteAbort,DuringWriteToFSBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbort,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,SD,WA,WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbort,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
