ModeBeforeSwitch,ModeAfterSwitch,ShutdownTypeAtSwitch,ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
PCIe,PCIe,WA,WriteAbortSwitch,DuringWriteToLogBlock,Open,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,WA,WriteAbortSwitch,HostSLC,Open,Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbortSwitch,HostTLC,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbortSwitch,DuringWriteToMTMBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbortSwitch,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,PCIe,WA,WriteAbortSwitch,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,SD,WA,WriteAbortSwitch,DuringWriteToLogBlock,Open,Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
SD,SD,WA,WriteAbortSwitch,DuringWriteToXORBlock,Open,Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
SD,SD,WA,WriteAbortSwitch,DuringWriteToMTMBlock,Open,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
SD,SD,WA,WriteAbortSwitch,DuringTLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,SD,WA,WriteAbortSwitch,DuringSLCtoTLCRelocation,Open,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
SD,SD,WA,WriteAbortSwitch,HostSLC,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,WA,WriteAbortSwitch,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,SD,WA,WriteAbortSwitch,DuringWriteToFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,WA,WriteAbortSwitch,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,SD,WA,WriteAbortSwitch,DuringWriteToBOOTBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
