ModeBeforeSwitch,ModeAfterSwitch,ShutdownTypeAtSwitch,ErrorType,ErrorPhase,BlockState,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
PCIe,Operational,,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnLogBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnLogBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnXORBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnXORBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnFSBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnFSBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnBootBlock,Open,Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,Operational,,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnBootBlock,Open,Sequential,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnLogBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnLogBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnFSBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnBootBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnBootBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnXORBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,UGSD,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnXORBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,Operational,,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
SD,Operational,,ProgramFailure,DuringTLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,SD,UGSD,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,SD,UGSD,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SD,PCIe,UGSD,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
SD,PCIe,UGSD,ProgramFailure,DuringSLCtoTLCRelocationAndFailureOnMTMBlock,Open,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
