ModeBeforeSwitch,ModeAfterSwitch,WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
PCIe,SD,Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
SD,SD,Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Overlapped,DiePageAligned,Unalignedto4K,NoPowerCycle
SD,PCIe,Sequential_Random,SingleSector,Unalignedto4K,Frequent_25Commands
SD,PCIe,Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Sequential_Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Random,DiePageAligned,Alignedto4K,InFrequent_75Commands
SD,SD,Sequential_Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Sequential,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
SD,PCIe,Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
SD,SD,Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
SD,PCIe,Sequential,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,SD,Sequential_Random,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,Overlapped,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,SD,Random,SingleSector,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,Sequential,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,SD,Overlapped,Alignedto4K,Alignedto4K,Frequent_25Commands
SD,PCIe,Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,Overlapped,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,Random,SingleSector,AlignedtoDiePage,NoPowerCycle
PCIe,SD,Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,PCIe,Random,SingleSector,Alignedto4K,Frequent_25Commands
PCIe,PCIe,Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,SD,Overlapped,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Random,Alignedto4K,Alignedto4K,NoPowerCycle
PCIe,SD,Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Random,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Overlapped,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,PCIe,Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,SD,Overlapped,Unalignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,SD,Overlapped,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,Overlapped,Alignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
PCIe,SD,Sequential_Random,DiePageAligned,Alignedto4K,InFrequent_75Commands
PCIe,SD,Random,SingleSector,Unalignedto4K,InFrequent_75Commands
SD,PCIe,Sequential_Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
SD,SD,Sequential_Random,DiePageAligned,Alignedto4K,Frequent_25Commands
PCIe,SD,Sequential_Random,SingleSector,AlignedtoDiePage,NoPowerCycle
SD,PCIe,Overlapped,Unalignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
SD,SD,Overlapped,DiePageAligned,Unalignedto4K,Frequent_25Commands
PCIe,PCIe,Sequential,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,SD,Random,SingleSector,Unalignedto4K,Frequent_25Commands
SD,PCIe,Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
PCIe,SD,Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
SD,SD,Random,Alignedto4K,Alignedto4K,NoPowerCycle
SD,SD,Sequential_Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
PCIe,PCIe,Sequential,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
SD,PCIe,Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,Overlapped,DiePageAligned,Unalignedto4K,NoPowerCycle
PCIe,SD,Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
PCIe,PCIe,Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
PCIe,PCIe,Overlapped,Alignedto4K,Alignedto4K,Frequent_25Commands
PCIe,PCIe,Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
PCIe,SD,Sequential_Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
PCIe,PCIe,Random,Alignedto4K,Unalignedto4K,NoPowerCycle
