WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Random,Alignedto4K,Alignedto4K,NoPowerCycle
Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Random,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
Random,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Random,Alignedto4K,Unalignedto4K,NoPowerCycle
Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
Random,DiePageAligned,Alignedto4K,Frequent_25Commands
Random,DiePageAligned,Alignedto4K,NoPowerCycle
Random,DiePageAligned,Alignedto4K,InFrequent_75Commands
Random,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Random,SingleSector,Alignedto4K,NoPowerCycle
Random,SingleSector,Alignedto4K,InFrequent_75Commands
Random,SingleSector,Alignedto4K,Frequent_25Commands
Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
Random,SingleSector,AlignedtoDiePage,NoPowerCycle
Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
Random,SingleSector,Unalignedto4K,InFrequent_75Commands
Random,SingleSector,Unalignedto4K,NoPowerCycle
Random,SingleSector,Unalignedto4K,Frequent_25Commands
Random,Unalignedto4K,Alignedto4K,NoPowerCycle
Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
Random,Unalignedto4K,Alignedto4K,InFrequent_75Commands
Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Random,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Random,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
