WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
Sequential,SingleSector,Unalignedto4K,NoPowerCycle
Sequential,Alignedto4K,Alignedto4K,NoPowerCycle
Sequential,SingleSector,Alignedto4K,Frequent_25Commands
Sequential,SingleSector,AlignedtoDiePage,NoPowerCycle
Sequential,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential,Alignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential,Unalignedto4K,Alignedto4K,InFrequent_75Commands
Sequential,DiePageAligned,Unalignedto4K,Frequent_25Commands
Sequential,SingleSector,Alignedto4K,InFrequent_75Commands
Sequential,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential,SingleSector,AlignedtoDiePage,Frequent_25Commands
Sequential,Unalignedto4K,Alignedto4K,Frequent_25Commands
Sequential,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Sequential,DiePageAligned,Alignedto4K,InFrequent_75Commands
Sequential,SingleSector,Unalignedto4K,Frequent_25Commands
Sequential,Unalignedto4K,Alignedto4K,NoPowerCycle
Sequential,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential,SingleSector,Unalignedto4K,InFrequent_75Commands
Sequential,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Sequential,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential,DiePageAligned,Unalignedto4K,NoPowerCycle
Sequential,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Sequential,Alignedto4K,Unalignedto4K,NoPowerCycle
Sequential,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential,SingleSector,AlignedtoDiePage,InFrequent_75Commands
Sequential,SingleSector,Alignedto4K,NoPowerCycle
Sequential,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential,Unalignedto4K,Unalignedto4K,NoPowerCycle
Sequential,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Sequential,DiePageAligned,Alignedto4K,NoPowerCycle
Sequential,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential,Alignedto4K,Alignedto4K,Frequent_25Commands
