WritePattern,WriteLength,LogicalLBAAlignment,PowerCycle
Sequential_Random,Alignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential_Random,Alignedto4K,Alignedto4K,Frequent_25Commands
Sequential_Random,Alignedto4K,Unalignedto4K,NoPowerCycle
Sequential_Random,Alignedto4K,Alignedto4K,NoPowerCycle
Sequential_Random,Alignedto4K,Unalignedto4K,Frequent_25Commands
Sequential_Random,Alignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,Alignedto4K,AlignedtoDiePage,NoPowerCycle
Sequential_Random,Alignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Alignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,DiePageAligned,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,DiePageAligned,Alignedto4K,InFrequent_75Commands
Sequential_Random,DiePageAligned,Unalignedto4K,NoPowerCycle
Sequential_Random,DiePageAligned,Alignedto4K,NoPowerCycle
Sequential_Random,DiePageAligned,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,DiePageAligned,AlignedtoDiePage,NoPowerCycle
Sequential_Random,DiePageAligned,Unalignedto4K,Frequent_25Commands
Sequential_Random,DiePageAligned,Unalignedto4K,InFrequent_75Commands
Sequential_Random,DiePageAligned,Alignedto4K,Frequent_25Commands
Sequential_Random,SingleSector,Unalignedto4K,InFrequent_75Commands
Sequential_Random,SingleSector,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,SingleSector,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,SingleSector,Alignedto4K,NoPowerCycle
Sequential_Random,SingleSector,Alignedto4K,InFrequent_75Commands
Sequential_Random,SingleSector,AlignedtoDiePage,NoPowerCycle
Sequential_Random,SingleSector,Unalignedto4K,NoPowerCycle
Sequential_Random,SingleSector,Unalignedto4K,Frequent_25Commands
Sequential_Random,SingleSector,Alignedto4K,Frequent_25Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,InFrequent_75Commands
Sequential_Random,Unalignedto4K,Unalignedto4K,Frequent_25Commands
Sequential_Random,Unalignedto4K,Alignedto4K,Frequent_25Commands
Sequential_Random,Unalignedto4K,Alignedto4K,InFrequent_75Commands
Sequential_Random,Unalignedto4K,AlignedtoDiePage,Frequent_25Commands
Sequential_Random,Unalignedto4K,Alignedto4K,NoPowerCycle
Sequential_Random,Unalignedto4K,Unalignedto4K,NoPowerCycle
Sequential_Random,Unalignedto4K,AlignedtoDiePage,InFrequent_75Commands
Sequential_Random,Unalignedto4K,AlignedtoDiePage,NoPowerCycle
